ident,timestamp,heartrate
4,10,102
4,11,104
4,12,100
4,13,105
4,14,108
4,15,105
4,16,100
4,17,103
4,18,101
4,19,107
4,20,107
4,21,108
4,22,108
4,23,110
4,24,109
4,25,103
4,26,100
4,27,108
4,28,116
4,29,108
4,30,106
4,31,121
4,32,116
4,33,122
4,34,102
4,35,136
4,36,106
4,37,131
4,38,137
4,39,147
4,40,132
4,41,130
4,42,117
4,43,135
4,44,123
4,45,124
4,46,127
4,47,115
4,48,115
4,49,105
4,50,103
4,51,106
4,52,111
4,53,107
4,54,109
4,55,106
4,56,100
4,57,111
4,58,110
4,59,103
4,60,106
4,61,101
4,62,107
4,63,109
4,64,110
4,65,105
4,66,109
4,67,104
4,68,103
4,69,109
4,70,106
4,71,102
4,72,103
4,73,103
4,74,101
4,75,107
4,76,108
4,77,110
4,78,109
4,79,100
4,80,104
4,81,106
4,82,100
4,83,106
4,84,107
4,85,106
4,86,106
4,87,102
4,88,100
4,89,100
4,90,106
4,91,109
4,92,102
4,93,109
4,94,104
4,95,103
4,96,103
4,97,102
4,98,105
4,99,109
