ident,timestamp,heartrate
1,10,100
1,11,103
1,12,102
1,13,109
1,14,100
1,15,107
1,16,103
1,17,104
1,18,102
1,19,104
1,20,104
1,21,104
1,22,105
1,23,110
1,24,110
1,25,109
1,26,112
1,27,111
1,28,113
1,29,117
1,30,102
1,31,124
1,32,108
1,33,109
1,34,108
1,35,108
1,36,120
1,37,135
1,38,109
1,39,111
1,40,130
1,41,119
1,42,141
1,43,115
1,44,120
1,45,115
1,46,102
1,47,128
1,48,116
1,49,124
1,50,106
1,51,100
1,52,106
1,53,113
1,54,100
1,55,101
1,56,109
1,57,103
1,58,110
1,59,101
1,60,105
1,61,103
1,62,103
1,63,101
1,64,100
1,65,105
1,66,109
1,67,104
1,68,105
1,69,103
1,70,109
1,71,106
1,72,101
1,73,110
1,74,100
1,75,103
1,76,102
1,77,105
1,78,108
1,79,109
1,80,106
1,81,109
1,82,107
1,83,105
1,84,104
1,85,105
1,86,108
1,87,102
1,88,105
1,89,107
1,90,109
1,91,105
1,92,100
1,93,106
1,94,104
1,95,106
1,96,101
1,97,109
1,98,108
1,99,106
2,10,106
2,11,106
2,12,104
2,13,101
2,14,106
2,15,102
2,16,103
2,17,109
2,18,104
2,19,110
2,20,102
2,21,103
2,22,110
2,23,106
2,24,109
2,25,102
2,26,112
2,27,102
2,28,111
2,29,117
2,30,117
2,31,121
2,32,128
2,33,113
2,34,136
2,35,125
2,36,115
2,37,105
2,38,105
2,39,120
2,40,147
2,41,147
2,42,115
2,43,139
2,44,139
2,45,136
2,46,114
2,47,129
2,48,127
2,49,103
2,50,120
2,51,104
2,52,110
2,53,109
2,54,105
2,55,103
2,56,107
2,57,101
2,58,109
2,59,100
2,60,104
2,61,100
2,62,110
2,63,104
2,64,105
2,65,106
2,66,107
2,67,108
2,68,110
2,69,103
2,70,103
2,71,105
2,72,110
2,73,103
2,74,106
2,75,102
2,76,103
2,77,106
2,78,105
2,79,106
2,80,100
2,81,100
2,82,105
2,83,106
2,84,100
2,85,107
2,86,101
2,87,105
2,88,108
2,89,102
2,90,106
2,91,109
2,92,102
2,93,109
2,94,109
2,95,103
2,96,105
2,97,110
2,98,107
2,99,108
3,10,104
3,11,103
3,12,110
3,13,104
3,14,106
3,15,110
3,16,103
3,17,101
3,18,100
3,19,108
3,20,106
3,21,106
3,22,103
3,23,100
3,24,105
3,25,107
3,26,111
3,27,107
3,28,116
3,29,102
3,30,108
3,31,112
3,32,123
3,33,109
3,34,103
3,35,127
3,36,136
3,37,147
3,38,136
3,39,142
3,40,104
3,41,133
3,42,128
3,43,131
